Date,2012-11-01,2013-02-01,2013-05-01,2013-08-01,2013-11-01,2014-02-01,2014-05-01,2014-08-01,2014-11-01,2015-02-01,2015-05-01,2015-08-01,2015-11-01,2016-02-01,2016-05-01,2016-08-01,2016-11-01,2017-02-01,2017-05-01,2017-08-01,2017-11-01,2018-02-01,2018-05-01,2018-08-01,2018-11-01,2019-02-01,2019-05-01,2019-08-01,2019-11-01,2020-02-01,2020-05-01,2020-08-01,2020-11-01,2021-02-01,2021-05-01,2021-08-01,2021-11-01,2022-02-01,2022-05-01,2022-08-01,2022-11-01
auction_price,10.09,13.62,14.00,12.22,11.48,11.48,11.50,11.50,12.10,12.21,12.29,12.52,12.73,12.73,12.73,12.73,12.73,13.57,13.80,14.75,15.06,14.61,14.65,15.05,15.31,15.73,17.45,17.16,17.00,17.87,16.68,16.68,16.93,17.80,18.80,23.30,28.26,29.15,30.85,27.00,26.80
auction_sold,23126110.00,12924822.00,14522048.00,13865422.00,16614526.00,19538695.00,16947080.00,22473043.00,23070987.00,73610528.00,76931627.00,73429360.00,75113008.00,68026000.00,7260000.00,30021000.00,76960000.00,11673000.00,75311960.00,63887833.00,79548286.00,98215920.00,90587738.00,79421265.00,78825717.00,80847404.00,66321122.00,66289515.00,67435661.00,57090077.00,21161000.00,52627000.00,56366432.00,54773607.00,71647138.00,71261536.00,68598217.00,58527697.00,58331300.00,56956085.00,58020854.00
oil_price,97.72,106.86,101.73,105.36,94.26,102.16,102.01,94.62,70.11,47.02,56.91,41.66,38.38,25.75,41.31,40.05,40.49,49.73,45.65,46.94,59.20,63.89,73.12,69.34,62.96,63.29,68.42,58.53,62.10,53.68,27.94,41.65,40.93,60.28,66.26,68.08,77.01,90.18,110.44,96.04,
natgas_price,5.94,6.09,6.74,6.68,6.54,7.65,7.71,7.38,6.89,6.77,5.51,6.12,5.83,6.90,5.84,6.91,7.48,7.96,7.05,6.43,6.38,7.56,6.17,8.16,7.09,8.61,6.81,6.97,7.16,8.26,6.61,6.68,7.86,9.59,8.12,8.66,11.46,13.03,12.26,14.35,
GDP,2159729.70,2167627.50,2191853.40,2228668.70,2293409.90,2277808.70,2315807.30,2367246.40,2380283.60,2434212.20,2476522.90,2489391.90,2494096.50,2533323.00,2546150.80,2586282.90,2612779.40,2649399.80,2697330.30,2754033.60,2814208.60,2830221.00,2887010.80,2923407.40,2948163.40,2970816.10,3028633.10,3062616.70,3108710.40,3074465.60,2812435.10,3060840.20,3132952.50,3225265.80,3331416.00,3416146.00,3520134.90,3497723.70,3558511.90,3634821.30,
offsets_used,,,,,"3,238,096.00","2,297,568.00","3,243,277.00","2,991,098.00","1,887,062.00","8,984,230.00","2,061,811.00","3,064,179.00","11,436,603.00","3,943,250.00","1,370,062.00","7,109,605.00","3,988,816.00","4,157,123.00","7,695,856.00","5,771,824.00","17,684,203.00","6,187,558.00","19,747,942.00","4,689,178.00","24,245,973.00","4,984,805.00","8,788,377.00","6,768,167.00","3,794,469.00","5,717,806.00","14,991,757.00","4,830,339.00","15,742,171.00","11,807,010.00","2,506,670.00","3,970,350.00","6,223,039.00","1,673,305.00","4,838,031.00","1,166,531.00","3,850,785.00"
elec_price,13.89,12.89,13.21,15.76,14.77,13.58,13.27,16.76,15.94,14.44,13.87,16.87,16.00,14.51,13.91,16.69,15.21,15.03,14.59,17.37,16.55,15.38,15.25,18.19,16.64,15.86,15.45,18.41,17.47,16.45,16.34,19.24,18.99,17.93,18.53,20.78,20.08,19.90,21.15,24.28,23.25
coal_price,89.10,97.79,94.56,84.70,85.70,86.82,79.04,75.21,69.28,67.51,65.07,63.66,58.29,54.36,54.87,63.99,94.68,90.18,85.52,93.07,103.50,109.79,104.78,123.45,114.85,104.30,92.67,75.07,68.63,71.21,62.99,52.69,57.67,88.02,99.10,152.97,202.22,228.57,368.88,436.17,420.98
coal_prod_price,212.73,211.07,209.07,208.30,207.53,204.03,201.30,199.33,197.73,196.57,195.90,193.63,192.53,186.13,189.43,191.20,190.47,196.63,195.07,194.43,196.27,197.07,199.13,199.43,200.93,200.57,198.97,201.03,200.20,192.07,189.50,188.37,188.80,187.00,188.70,189.76,190.97,214.08,261.53,304.71,307.97
temp_avg,62.60,43.50,58.60,74.90,59.90,48.00,58.60,75.10,63.20,49.50,58.10,75.30,61.60,46.20,57.50,75.50,60.90,44.30,57.50,76.50,61.70,47.70,56.40,75.80,61.50,43.80,55.20,74.50,60.20,46.30,56.40,75.30,63.70,46.10,57.00,77.20,61.70,45.70,57.10,76.00,61.40
Anomaly1,3.40,-0.10,4.10,2.70,0.70,4.40,4.10,2.90,4.00,5.90,3.60,3.10,2.40,2.60,3.00,3.30,1.70,0.70,3.00,4.30,2.50,4.10,1.90,3.60,2.30,0.20,0.70,2.30,1.00,2.70,1.90,3.10,4.50,2.50,2.50,5.00,2.50,2.10,2.60,3.80,2.20
temp_max,75.80,54.20,71.90,89.60,73.10,59.90,71.70,89.60,76.20,59.70,71.20,89.50,74.20,56.30,69.60,90.50,73.30,53.00,70.00,91.00,74.40,59.10,68.50,90.50,74.70,52.70,66.60,88.90,73.80,56.50,68.40,90.20,77.70,57.00,70.60,91.90,74.30,57.10,70.50,90.60,74.50
Anomaly2,3.50,0.70,5.10,2.40,0.80,6.40,4.90,2.40,3.90,6.20,4.40,2.30,1.90,2.80,2.80,3.30,1.00,-0.50,3.20,3.80,2.10,5.60,1.70,3.30,2.40,-0.80,-0.20,1.70,1.50,3.00,1.60,3.00,5.40,3.50,3.80,4.70,2.00,3.60,3.70,3.40,2.20
temp_min,49.40,32.80,45.30,60.30,46.80,36.10,45.50,60.50,50.40,39.40,45.00,61.00,49.00,36.10,45.50,60.50,48.50,35.60,45.00,61.90,49.00,36.20,44.20,61.10,48.40,34.90,43.80,60.00,46.60,36.20,44.40,60.40,49.60,35.20,43.40,62.60,49.10,34.20,43.60,61.30,48.30
Anomaly3,3.30,-0.90,3.10,3.00,0.70,2.40,3.30,3.20,4.30,5.70,2.80,3.70,2.90,2.40,3.30,3.20,2.40,1.90,2.80,4.60,2.90,2.50,2.00,3.80,2.30,1.20,1.60,2.70,0.50,2.50,2.20,3.10,3.50,1.50,1.20,5.30,3.00,0.50,1.40,4.00,2.20
Precipitation,4.66,7.92,2.66,1.04,2.02,5.00,4.69,0.73,3.62,9.81,2.77,0.97,3.10,12.29,7.17,0.39,6.08,22.35,5.64,0.62,3.75,4.20,7.91,0.33,3.57,16.18,7.77,0.30,2.38,7.14,6.38,0.31,1.28,6.87,2.13,0.53,4.97,6.95,3.07,0.97,3.04
Anomaly4,0.48,-3.81,-3.07,0.27,-2.16,-6.73,-1.04,-0.04,-0.56,-1.92,-2.96,0.20,-1.08,0.56,1.44,-0.38,1.90,10.62,-0.09,-0.15,-0.43,-7.53,2.18,-0.44,-0.61,4.45,2.04,-0.47,-1.80,-4.59,0.65,-0.46,-2.90,-4.86,-3.60,-0.24,0.79,-4.78,-2.66,0.20,-1.14
business_sentiment,99.33,99.70,99.62,100.06,100.51,100.26,100.42,100.66,100.78,100.20,99.81,99.67,99.09,99.00,99.55,99.63,99.75,100.57,100.62,100.95,101.32,101.39,101.23,101.41,101.19,100.51,100.00,99.36,98.86,99.03,98.37,99.91,101.00,101.56,101.88,101.56,101.62,101.16,100.61,99.92,99.34
lending_rate,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.46,3.50,3.50,3.50,3.71,3.96,4.21,4.25,4.47,4.69,4.96,5.18,5.45,5.50,5.42,4.96,4.75,3.43,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.60,4.91,6.31
